¿ù,ÀÏ, 1h , 2h , 3h , 4h , 5h , 6h , 7h , 8h , 9h , 10h , 11h , 12h , 13h , 14h , 15h , 16h , 17h , 18h , 19h , 20h , 21h , 22h , 23h , 24h 
6,5,0,0,0,0,0,3.48,69.48,219.36,443.88,816.36,958.2,1081.56,1125.96,1111.32,885.72,698.76,498,355.44,152.52,27.36,0,0,0,0
6,6,0,0,0,0,0,3.72,103.2,323.28,570.84,757.32,867.72,1050.6,1113.72,1065.48,970.56,819.24,572.4,323.52,122.04,12.24,0,0,0,0
6,7,0,0,0,0,0,12.48,126,304.08,530.88,716.88,987.6,1119,1146.24,1117.92,1020.72,855.36,611.4,316.68,117.24,13.44,0,0,0,0
6,8,0,0,0,0,0,1.92,59.16,203.28,442.08,741.6,560.88,419.52,488.88,459.96,328.92,317.88,238.68,205.8,57.6,2.88,0,0,0,0
6,9,0,0,0,0,0,0,27,171.6,474.84,471.72,1050.12,745.68,1114.44,1182,1062.24,844.8,506.76,253.68,46.92,0.12,0,0,0,0
6,10,0,0,0,0,0,0,46.8,178.8,402.12,494.64,302.28,239.28,528.48,420.24,247.8,112.44,254.4,233.76,77.4,0,0,0,0,0
6,11,0,0,0,0,0,0,44.04,113.16,335.28,604.56,495.48,255.72,383.4,409.08,129.96,73.44,51.24,24.6,0.96,0,0,0,0,0
6,12,0,0,0,0,0,0,3,28.32,111.6,159.96,198.12,285.24,297.6,423.72,544.08,576.36,179.76,84.24,15,0,0,0,0,0
6,13,0,0,0,0,0,0.12,73.44,186.96,356.88,344.88,496.8,606.6,496.92,480.96,562.08,391.8,315,154.92,24.6,1.68,0,0,0,0
6,14,0,0,0,0,0,0,3.24,53.4,112.68,127.08,225.84,297.84,238.08,431.04,346.08,292.56,226.2,99.84,8.16,0,0,0,0,0
6,15,0,0,0,0,0,0,56.64,141.72,377.4,733.92,785.64,910.92,774.12,902.16,1038,884.52,653.04,275.04,119.28,18.36,0,0,0,0
6,16,0,0,0,0,0,3.12,99.96,150.48,219.24,491.4,773.52,1137.6,1166.88,1143.24,1083.36,919.56,687.72,401.88,126.48,9.36,0,0,0,0
6,17,0,0,0,0,0,0,42.72,160.32,306.36,523.32,1023.36,1025.76,895.56,810.36,631.32,430.92,338.4,232.8,78.48,1.8,0,0,0,0
6,18,0,0,0,0,0,0,37.32,36,19.56,4.56,68.28,3.72,114.6,104.16,86.4,46.68,0,0,0,0,0,0,0,0
6,19,0,0,0,0,0,0,0,0,9.96,90.36,132.6,192.96,225.36,315.24,538.8,587.76,635.4,398.16,141.48,12.12,0,0,0,0
6,20,0,0,0,0,0,0,17.88,167.76,540,499.68,407.88,624.84,946.44,795.72,981.84,682.08,633.36,369,138.36,17.28,0,0,0,0
6,21,0,0,0,0,0,1.32,111.96,318.72,522.24,737.04,930.24,1016.28,1039.32,876.36,732.96,659.64,463.08,364.32,160.2,21.12,0,0,0,0
6,22,0,0,0,0,0,0,60.12,193.8,280.08,393.36,769.32,935.52,1098.6,1068.12,939.48,768.96,567.24,277.68,103.2,2.4,0,0,0,0
