년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018.02.23,1,발전량,4.715,0.196,1.213,0,1.213,0.012,0,0,0,0,0,0,0,0,0.024,0.113,0.393,0.571,1.213,0.788,0.92,0.541,0.142,0.012,0,0,0,0,0,0
2018.02.24,1,발전량,8.004,0.334,1.342,0,1.342,0,0,0,0,0,0,0,0,0,0.18,0.71,1.023,1.179,1.245,1.342,1.157,0.652,0.32,0.193,0.002,0,0,0,0,0
2018.02.25,1,발전량,5.504,0.229,1.103,0,1.103,0.001,0,0,0,0,0,0,0,0.001,0.038,0.151,0.372,1.103,1.067,0.948,0.628,0.503,0.511,0.181,0.002,0,0,0,0,0
2018.02.26,1,발전량,10.091,0.42,1.466,0,1.466,0.003,0,0,0,0,0,0,0,0.048,0.447,0.891,1.197,1.383,1.466,1.418,1.291,1.046,0.683,0.218,0.003,0,0,0,0,0
2018.02.27,1,발전량,7.521,0.313,1.331,0,1.331,0.002,0,0,0,0,0,0,0,0.041,0.384,0.83,1.085,1.331,0.921,1.003,0.919,0.598,0.305,0.103,0.002,0,0,0,0,0
2018.02.28,1,발전량,0.235,0.01,0.062,0,0.062,0.001,0,0,0,0,0,0,0,0.002,0.031,0.025,0.037,0.021,0.062,0.018,0.037,0.001,0,0,0,0,0,0,0,0
2018.03.01,1,발전량,7.295,0.304,1.307,0,1.307,0.003,0,0,0,0,0,0,0,0,0.003,0.152,0.456,0.876,1.188,1.307,1.291,1.086,0.71,0.222,0.005,0,0,0,0,0
2018.03.02,1,발전량,10.414,0.434,1.492,0,1.492,0.005,0,0,0,0,0,0,0,0.062,0.473,0.905,1.216,1.407,1.492,1.467,1.331,1.071,0.726,0.259,0.005,0,0,0,0,0
2018.03.03,1,발전량,9.709,0.405,1.423,0,1.423,0.005,0,0,0,0,0,0,0,0.053,0.426,0.87,1.175,1.357,1.423,1.388,1.253,0.885,0.653,0.222,0.005,0,0,0,0,0
2018.03.04,1,발전량,6.922,0.288,1.369,0,1.369,0.03,0,0,0,0,0,0,0,0,0.043,0.156,0.907,1.336,1.369,0.939,0.793,0.891,0.456,0.03,0,0,0,0,0,0
2018.03.05,1,발전량,1.674,0.07,0.499,0,0.499,0.004,0,0,0,0,0,0,0,0,0.025,0.048,0.062,0.195,0.207,0.499,0.383,0.141,0.109,0.004,0,0,0,0,0,0
2018.03.06,1,발전량,8.607,0.359,1.532,0,1.532,0.009,0,0,0,0,0,0,0,0.023,0.255,0.737,1.102,1.532,1.242,0.531,1.119,1.105,0.696,0.258,0.009,0,0,0,0,0
2018.03.07,1,발전량,1.851,0.077,0.538,0,0.538,0.001,0,0,0,0,0,0,0,0.015,0.14,0.22,0.289,0.538,0.301,0.195,0.081,0.05,0.02,0.001,0,0,0,0,0,0
2018.03.08,1,발전량,0.022,0.001,0.011,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.011,0.001,0,0,0,0,0,0,0
2018.03.09,1,발전량,0.712,0.03,0.149,0,0.149,0.003,0,0,0,0,0,0,0,0.007,0.032,0.052,0.035,0.056,0.113,0.077,0.12,0.149,0.069,0.003,0,0,0,0,0,0
2018.03.10,1,발전량,8.325,0.347,1.436,0,1.436,0.011,0,0,0,0,0,0,0,0.036,0.161,0.465,0.625,0.985,1.22,1.436,1.341,1.084,0.702,0.26,0.011,0,0,0,0,0
2018.03.11,1,발전량,10.083,0.42,1.498,0,1.498,0.012,0,0,0,0,0,0,0,0.103,0.482,0.889,1.014,1.261,1.468,1.498,1.351,1.074,0.692,0.24,0.012,0,0,0,0,0
2018.03.12,1,발전량,10.089,0.42,1.442,0,1.442,0.013,0,0,0,0,0,0,0,0.096,0.51,0.925,1.204,1.387,1.442,1.389,1.247,0.991,0.648,0.237,0.013,0,0,0,0,0
2018.03.13,1,발전량,10.32,0.43,1.464,0,1.464,0.013,0,0,0,0,0,0,0,0.096,0.542,0.953,1.233,1.399,1.464,1.436,1.279,1.027,0.646,0.233,0.013,0,0,0,0,0
2018.03.14,1,발전량,9.988,0.416,1.415,0,1.415,0.009,0,0,0,0,0,0,0,0.093,0.473,0.889,1.168,1.34,1.415,1.391,1.257,1.02,0.702,0.232,0.009,0,0,0,0,0
2018.03.15,1,발전량,0.385,0.016,0.088,0,0.088,0.001,0,0,0,0,0,0,0,0.001,0.03,0.021,0.01,0.029,0.026,0.048,0.088,0.043,0.048,0.037,0.004,0,0,0,0,0
